"id";"sermondate";"speaker";"topic";"section";"location";"remark";"audiofile";"bibleID";"updatedBy";"updatedTime";"activeFlag"
14;"2008-04-13";"黃嘉松牧師";"亞伯拉罕信心的旅程(1)";"創12：1-5";"海沃教會";"";"20080413Huang.mp3";0;"";"";"Active"
15;"2008-04-20";"黃嘉松牧師";"亞伯拉罕信心的旅程(2)";"創12：5-9";"海沃教會";"";"20080420Huang.mp3";0;"";"";"Active"
16;"2008-04-27";"陳鴻沫牧師";"(以便以謝)-幫助之石";"撒上7:7-13";"海沃教會";"";"20080427chen.mp3";0;"";"";"Active"
17;"2008-05-04";"陳鴻沫牧師";"人生最重要的轉折點";"耶31：15-22";"海沃教會";"";"20080504huang.mp3";0;"";"";"Active"
18;"2008-05-11";"黃嘉松牧師";"以色列的母";"士4：1-5：7";"海沃教會";"";"20080511Huang.mp3";0;"";"";"Active"
19;"2008-05-18";"林力山弟兄";"除舊布新";"彼後1:4";"海沃教會";"";"20080518lin.mp3";0;"";"";"Active"
20;"2008-05-25";"黃嘉松牧師";"亞伯拉罕信心的旅程(3)";"創12:10-13:4";"海沃教會";"";"20080525huang.mp3";0;"";"";"Active"
21;"2008-06-01";"黃嘉松牧師";"當務之急";"路13:1-9";"海沃教會";"";"20080601huang.mp3";0;"";"";"Active"
22;"2008-06-08";"黃嘉松牧師";"亞伯拉罕信心的旅程(4)";"創13:1-18";"海沃教會";"";"20080608Huang.mp3";0;"";"";"Active"
23;"2008-06-15";"黃嘉松牧師";"亞伯拉罕信心的旅程(5)";"創14:1-12";"海沃教會";"";"20080615Huang.mp3";0;"";"";"Active"
24;"2008-06-22";"李龍山牧師";"建立良好人際關係";"太18:15-27";"海沃教會";"";"20080622lin.mp3";0;"";"";"Active"
25;"2008-06-22";"林力山弟兄";"神蹟與神能";"";"海沃教會";"";"20080629li.mp3";0;"";"";"Active"
26;"2008-07-13";"黃嘉松牧師";"亞伯拉罕信心的旅程(6)";"創15";"海沃教會";"";"20080713huang.mp3";0;"";"";"Active"
27;"2008-07-27";"林力山弟兄";"下半場";"約8:12";"海沃教會";"";"20080727lin.mp3";0;"";"";"Active"
28;"2008-08-03";"黃嘉松牧師";"神宣教的心";"詩87";"海沃教會";"";"20080803huang.mp3";0;"";"";"Active"
29;"2008-08-10";"黃嘉松牧師";"亞伯拉罕信心的旅程(7)";"創16";"海沃教會";"audio file missed";"";0;"";"";"Active"
30;"2008-08-17";"黃嘉松牧師";"亞伯拉罕信心的旅程(8)";"";"海沃教會";"";"20080817huang.mp3";0;"";"";"Active"
31;"2008-08-24";"葉耿齊傳道";"頭條新聞";"羅 1:8-17";"海沃教會";"";"20080824ye.mp3";0;"";"";"Active"
32;"2008-08-31";"李龍山牧師";"財富的自由與責任";"提前 6:17-19";"海沃教會";"";"20080831lee.mp3";0;"";"";"Active"
33;"2008-09-07";"黃嘉松牧師";"亞伯拉罕信心的旅程(8)-2";"創17";"海沃教會";"";"20080907huang.mp3";0;"";"";"Active"
34;"2008-09-14";"短宣隊";"台灣中原大學英文營短宣";"";"海沃教會";"";"20080914mission.mp3";0;"";"";"Active"
35;"2008-09-21";"Greg. Ng 宣教士";"同心合意";"腓1:1-6";"海沃教會";"";"20080921ng.mp3";0;"";"";"Active"
36;"2008-09-28";"葉耿齊傳道";"值得嗎";"腓3：7-11";"海沃教會";"";"20080928ye.mp3";0;"";"";"Active"
37;"2008-10-05";"黃嘉松牧師";"最幸運的人";"提前 1:12-17";"海沃教會";"";"20081005huang.mp3";0;"";"";"Active"
38;"2008-10-12";"黃嘉松牧師";"亞伯拉罕信心的旅程(9)";"";"海沃教會";"";"20081012huang.mp3";0;"";"";"Active"
39;"2008-10-19";"林力山弟兄";"不要怕";"約 6:16-21";"海沃教會";"";"20081019lin.mp3";0;"";"";"Active"
40;"2008-10-26";"林力山弟兄";"只要信";"約 6:16-21";"海沃教會";"";"20081026_RobertLin.mp3";0;"";"";"Active"
41;"2008-11-02";"黃嘉松牧師";"信心的高峰";"";"海沃教會";"";"20081102huang.mp3";0;"";"";"Active"
42;"2008-11-09";"黃嘉松牧師";"主來的日子近了";"彼前4：7-11";"海沃教會";"";"20081109huang.mp3";0;"";"";"Active"
43;"2008-11-16";"林力山弟兄";"生命之光";"約8:12";"海沃教會";"";"20081116lin.mp3";0;"";"";"Active"
44;"2008-11-23";"黃嘉松牧師";"多有感恩的教會";"西 1:1-12";"海沃教會";"audio file missed";"";0;"";"";"Active"
45;"2008-11-30";"陳鴻沫牧師";"感恩的行動";"林後 9:1-15";"海沃教會";"audio file missed";"";0;"";"";"Active"
46;"2008-12-07";"黃嘉松牧師";"屬靈生命的記號";"約壹 1:1-4";"海沃教會";"";"20081207huang.mp3";0;"";"";"Active"
47;"2008-12-14";"黃嘉松牧師";"撒種的快樂";"詩126";"海沃教會";"";"20081214huang.mp3";0;"";"";"Active"
48;"2008-12-25";"黃嘉松牧師";"神的秘密(暫缺）";"提前3：16";"海沃教會";"";"20081221huang.mp3";0;"";"";"Active"
49;"2008-12-28";"陳鴻沫牧師";"山海震動，處變不驚";"詩46";"海沃教會";"";"20081228chen.mp3";0;"";"";"Active"
50;"2009-01-04";"黃嘉松 牧師";"作主門徒";"太28:16-20";"海沃教會";"";"20090104huang.mp3";0;"";"";"Active"
51;"2009-01-11";"黃嘉松牧師";"作主門徒的記號 (1)";"";"海沃教會";"";"20090111huang.mp3";0;"";"";"Active"
52;"2009-01-18";"陳鴻沫牧師";"心意更新的生活";"羅12:1-2";"海沃教會";"";"20090118chen.mp3";0;"";"";"Active"
53;"2009-01-25";"黃嘉松牧師";"作主門徒的記號 (2)";"";"海沃教會";"";"20090125huang.mp3";0;"";"";"Active"
54;"2009-02-01";"黃嘉松牧師";"主的門徒--彼得(1)";"路3:1-9；約1:35-42";"海沃教會";"";"20090201huang.mp3";0;"";"";"Active"
55;"2009-02-08";"黃嘉松牧師";"主的門徒--彼得(2)";"路5:1-11";"海沃教會";"";"20090208huang.mp3";0;"";"";"Active"
56;"2009-02-15";"黃嘉松牧師";"主的門徒--彼得(3)";"可3:13-19";"海沃教會";"";"20090215huang.mp3";0;"";"";"Active"
57;"2009-02-22";"葉耿齊傳道";"回家";"路15:25-32";"海沃教會";"";"20090222ye.mp3";0;"";"";"Active"
58;"2009-03-01";"黃嘉松牧師";"主的門徒 --彼得(4)";"可15:22-33";"海沃教會";"audio file missed";"";0;"";"";"Active"
59;"2009-03-08";"黃嘉松牧師";"主的門徒--彼得(5)";"約6:66-69；太16:13-19";"海沃教會";"";"20090308huang.mp3";0;"";"";"Active"
60;"2009-03-15";"黃嘉松牧師";"主的門徒 --彼得(6)";"太26: 69-75";"海沃教會";"";"20090315huang.mp3";0;"";"";"Active"
61;"2009-03-22";"林力山弟兄";"彼得的改變";"彼後1: 3-4";"海沃教會";"audio file missed";"";0;"";"";"Active"
62;"2009-03-29";"陳鴻沫牧師";" 具有感染力 的基督徒";"太5: 13-16";"海沃教會";"因技術問題，中間有約一分鐘短暫空白";"20090329chen.mp3";0;"";"";"Active"
63;"2009-04-05";"黃嘉松牧師";" 主的門徒--彼得(7)";"可16: 1-8；約21: 15-19";"海沃教會";"";"20090405huang.mp3";0;"";"";"Active"
64;"2009-04-12";"黃嘉松牧師";"主果然復活了";"路24:13-25";"海沃教會";"";"20090412huang.mp3";0;"";"";"Active"
65;"2009-04-19";"葉耿齊傳道";"自由與奴役";"加拉太書5:1-6";"海沃教會";"";"20090419_Yeh.mp3";0;"";"";"Active"
66;"2009-04-26";"曾思翰牧師";"新時代新合一";"弗4:1-6";"海沃教會";"";"20090426zeng.mp3";0;"";"";"Active"
67;"2009-05-03";"黃嘉松牧師";"路得: 危機時代跟隨神的人(1)";"得 1：1-7";"海沃教會";"";"20090503huang.mp3";0;"";"";"Active"
68;"2009-05-09";"遠志明弟兄";"尋找就尋見(上)";"佈道會 (1)";"海沃教會";"";"20090509Ayuan.mp3";0;"";"";"Active"
69;"2009-05-09";"遠志明弟兄";"尋找就尋見 (下)";"";"";"";"20090509Byuan.mp3";0;"";"";"Active"
70;"2009-05-10";"遠志明弟兄";"祈求就得著";"佈道會 (2)";"海沃教會";"";"20090510yuan.mp3";0;"";"";"Active"
71;"2009-05-24";"黃嘉松牧師";"路得: 危機時代跟隨神的人(3)";"得 1：1-7";"海沃教會";"";"20090524huang.mp3";0;"";"";"Active"
72;"2009-05-31";"林力山弟兄";"彼此相愛";"約13: 34";"海沃教會";"";"20090531_Lin.mp3";0;"";"";"Active"
73;"2009-06-07";"黃嘉松牧師";"路得: 危機時代跟隨神的人(4)";"得2:1-18";"海沃教會";"";"20090607huang.mp3";0;"";"";"Active"
74;"2009-06-14";"孫約翰牧師";"至美的團隊";"馬可2:1-12";"海沃教會";"";"20090614sun.mp3";0;"";"";"Active"
75;"2009-06-21";"黃嘉松牧師";"路得: 危機時代信神而活的人(5)";"得 1：1-7";"海沃教會";"";"20090621huang.mp3";0;"";"";"Active"
76;"2009-06-28";"葉耿齊傳道";"軟弱即剛強";"約13: 34";"海沃教會";"";"20090628ye.mp3";0;"";"";"Active"
77;"2009-07-05";"黃嘉松牧師";"路得: 危機時代信神而活的人(6)";"得2:1-18";"海沃教會";"audio file missed";"";0;"";"";"Active"
78;"2009-07-12";"黃嘉松牧師";"路得: 危機時代信神而活的人(7)";"得4:1-6";"海沃教會";"";"20090712huang.mp3";0;"";"";"Active"
79;"2009-07-19";"陳鴻沫牧師";"屬靈復興";"尼西米記8:1-12";"海沃教會";"";"20090719chen.mp3";0;"";"";"Active"
80;"2009-07-26";"林力山弟兄";"彼此相愛(2)";"約壹4:7-8;林前13:4-7";"海沃教會";"";"20090726lin.mp3";0;"";"";"Active"
81;"2009-08-02";"黃嘉松牧師";"路得: 危機時代信神而活的人(7)";"得4:7-22";"海沃教會";"因技術問題只錄到後半段";"20090802huang.mp3";0;"";"";"Active"
82;"2009-08-09";"黃嘉松牧師";"誰是有福的人";"耶17:1-14";"海沃教會";"";"20090809_Huang.mp3";0;"";"";"Active"
83;"2009-08-16";"黃嘉松牧師";"一個人生不可逃避的問題";"彼前4:12-19";"海沃教會";"";"20090816huang.mp3";0;"";"";"Active"
84;"2009-08-23";"葉耿齊傳道";"有人在家嗎？";"啟3:14~22";"海沃教會";"";"20090823yeh.mp3";0;"";"";"Active"
85;"2009-08-30";"黃嘉松牧師";"基督僕人的生命";"路42: 35-48";"海沃教會";"";"20090830huang.mp3";0;"";"";"Active"
86;"2009-09-06";"李嫣如宣教士";"患難中隱藏的珍寶";"太: 5:13-16";"海沃教會";"宣教月";"20090906lee.mp3";0;"";"";"Active"
87;"2009-09-13";"邱志健牧師";"建立宣教使命的教會";"弗1:23, 路19:10,徒22:8, 10";"海沃教會";"宣教月";"20090913Bchiu.mp3";0;"";"";"Active"
88;"2009-09-13";"邱志健牧師";"人人宣教:鹽和光";"太: 5:13-16";"海沃教會";"宣教月";"20090913Achiu.mp3";0;"";"";"Active"
89;"2009-09-20";"李子群牧師";"主步亦步 - 宣教的基礎";"約14：12";"海沃教會";"宣教月";"20090920li.mp3";0;"";"";"Active"
90;"2009-09-27";"陳鴻沫牧師";"我在這裡－請差遣我";"賽6:1-8";"海沃教會";"宣教月";"20090927chen.mp3";0;"";"";"Active"
91;"2009-10-04";"黃嘉松牧師";"堅固中成長的教會";"西4:2-6";"海沃教會";"中英聯合聚會;萬嗣興口譯";"20091004huang.mp3";0;"";"";"Active"
92;"2009-10-11";"葉耿齊傳道";"放手";"彼前5:7-9";"海沃教會";"";"20091011ye.mp3";0;"";"";"Active"
93;"2009-10-18";"葉耿齊傳道";"飽滿的麥穗";"彼前5:5-6";"海沃教會";"";"20091018yeh.mp3";0;"";"";"Active"
94;"2009-10-25";"黃嘉松牧師";"飛揚的信心(1): 試煉有何益處";"雅各1: 1-4";"海沃教會";"";"20091025huang.mp3";0;"";"";"Active"
95;"2009-11-01";"黃嘉松牧師";"飛揚的信心(2): 試煉與智慧";"雅1:5-11";"海沃教會";"";"20091101huang.mp3";0;"";"";"Active"
96;"2009-11-08";"黃嘉松牧師";"飛揚的信心(3): 試煉與試探";"雅各1: 12-18";"海沃教會";"";"20091108huang.mp3";0;"";"";"Active"
97;"2009-11-15";"林力山弟兄";"彼此相愛(3)";"約壹3:23-24";"海沃教會";"";"20091115lin.mp3";0;"";"";"Active"
98;"2009-11-22";"黃嘉松牧師";"神的道與成長";"";"海沃教會";"";"20091122Huang.mp3";0;"";"";"Active"
99;"2009-11-29";"陳鴻沫牧師";"基督徒感恩的縁由";"西3:12-17";"海沃教會";"";"20091129chen.mp3";0;"";"";"Active"
100;"2009-12-06";"黃嘉松牧師";" 飛揚的信心(5): 活出憐憫";"雅 1:27~2:13";"海沃教會";"";"20091206huang.mp3";0;"";"";"Active"
101;"2009-12-13";"林力山弟兄";" 愛是不止息";"提前1:5";"海沃教會";"";"20091213lin.mp3";0;"";"";"Active"
102;"2009-12-20";"黃嘉松牧師";" 聖誕節做什麽？";"路2：15~20;太2：9~11";"海沃教會";"";"20091220huang.mp3";0;"";"";"Active"
103;"2009-12-27";"葉耿齊傳道";" 屬靈成長(一)";"太4：1~11";"海沃教會";"";"20091227ye.mp3";0;"";"";"Active"
104;"2010-01-03";"黃嘉松牧師";"展翅上騰，熱心事主(1)";"書24：14~18";"海沃教會";"";"20100103huang.mp3";0;"";"";"Active"
105;"2010-01-10";"黃嘉松牧師";"展翅上騰，熱心事主(2)";"太4：10";"海沃教會";"";"20100110huang.mp3";0;"";"";"Active"
106;"2010-01-17";"黃嘉松牧師";"展翅上騰，熱心事主(3)";"詩 100:1-5";"海沃教會";"";"20100113chen.mp3";0;"";"";"Active"
107;"2010-01-24";"葉耿齊傳道";"屬靈成長（二）";"路15:11-24";"海沃教會";"";"20100117huang.mp3";0;"";"";"Active"
108;"2010-01-31";"陳鴻沫牧師";"活潑的盼望";"彼前1:3-12,3:15";"海沃教會";"";"20100124yeh.mp3";0;"";"";"Active"
109;"2010-02-07";"黃嘉松牧師";"永恆的賞賜";"林後5:9-10";"海沃教會";"";"20100207huang.mp3";0;"";"";"Active"
110;"2010-02-14";"黃嘉松牧師";"永恆的賞賜（二）";"約2：8";"海沃教會";"";"20100214huang.mp3";0;"";"";"Active"
111;"2010-02-21";"黃嘉松牧師";"永恆的賞賜（三）";"約2：8";"海沃教會";"";"20100221huang.mp3";0;"";"";"Active"
112;"2010-02-28";"林力山弟兄";"從新得力";"賽40：29-31";"海沃教會";"";"20100228lin.mp3";0;"";"";"Active"
113;"2010-03-07";"歐穎寧牧師";"從“願”思& ldquo;源""""";"約3：29-30";"海沃教會";"";"20100307ou.mp3";0;"";"";"Active"
114;"2010-03-14";"黃嘉松牧師";"等候神（一)";"賽40：27-31";"海沃教會";"";"20100314huang.mp3";0;"";"";"Active"
115;"2010-03-21";"黃嘉松牧師";"現在就是拯救的日子";"詩32";"海沃教會";"";"20100321huang.mp3";0;"";"";"Active"
116;"2010-03-28";"葉耿齊傳道";"屬靈成長（三）";"可 8:13-21";"海沃教會";"";"20100328ye.mp3";0;"";"";"Active"
117;"2010-04-04";"黃嘉松牧師";"他復活了";"太 28:1-10";"海沃教會";"";"20100404huang.mp3";0;"";"";"Active"
118;"2010-04-11";"黃嘉松牧師";"等候神（二）";"賽40：27-31";"海沃教會";"";"20100411huang.mp3";0;"";"";"Active"
119;"2010-04-18";"葉耿齊傳道";"屬靈成長（四）";"傳3：1-15";"海沃教會";"";"20100418yeh.mp3";0;"";"";"Active"
120;"2010-04-23";"東方比利";"灣區詩歌佈道會 開場影片";"";"海沃教會";"佈道會";"20100423ABilly.mp3";0;"";"";"Active"
121;"2010-04-23";"東方比利";"比利見證1";"";"海沃教會";"";"20100423BBilly.mp3";0;"";"";"Active"
122;"2010-04-23";"東方比利";"比利見證2";"";"海沃教會";"";"20100423CBilly.mp3";0;"";"";"Active"
123;"2010-04-25";"陳鴻沫牧師";"圣潔生活的緣由";"彼前1：13-23";"海沃教會";"";"20100425chen.mp3";0;"";"";"Active"
124;"2010-05-02";"黃嘉松牧師";"但以理 -- 認識神掌權的人";"但1:1~13";"海沃教會";"";"20100502huang.mp3";0;"";"";"Active"
125;"2010-05-09";"黃嘉松牧師";"但以理 -- 認識神掌權的人(2)";"但1:17~2:13";"海沃教會";"";"20100509huang.mp3";0;"";"";"Active"
126;"2010-05-16";"林力山弟兄";"蒙恩的罪人";"詩32";"海沃教會";"";"20100516lin.mp3";0;"";"";"Active"
127;"2010-05-23";"葉耿齊傳道";"與豪豬共舞";"";"海沃教會";"";"20100523yeh.mp3";0;"";"";"Active"
128;"2010-05-30";"黃嘉松牧師";"但以理 -- 認識神掌權的人(3)";"但";"海沃教會";"";"20100530huang.mp3";0;"";"";"Active"
129;"2010-06-06";"黃嘉松牧師";"但以理 -- 認識神掌權的人(4)";"但 3";"海沃教會";"";"20100606huang.mp3";0;"";"";"Active"
130;"2010-06-13";"黃嘉松牧師";"但以理 -- 認識神掌權的人(5)";"但 4";"海沃教會";"";"20100613huang.mp3";0;"";"";"Active"
131;"2010-06-20";"黃嘉松牧師";"祝福你的兒女";"創 48";"海沃教會";"";"20100620huang.mp3";0;"";"";"Active"
132;"2010-06-27";"林力山弟兄";"喜樂的人";"腓4:4-7";"海沃教會";"";"20100627lin.mp3";0;"";"";"Active"
133;"2010-07-04";"黃嘉松牧師";"但以理-認識神掌權的人(六)";"但5章";"海沃教會";"";"20100704huang.mp3";0;"";"";"Active"
134;"2010-07-11";"黃嘉松牧師";"但以理-認識神掌權的人(七)";"但6章";"海沃教會";"";"20100711huang.mp3";0;"";"";"Active"
135;"2010-07-17";"黃子嘉牧師";"與主同伴同工";"";"UC Davis";"夏令會";"20100717Ehuang.mp3";0;"";"";"Active"
136;"2010-07-17";"黃子嘉牧師";"與主同苦同榮";"";"UC Davis";"夏令會";"20100717Dhuang.mp3";0;"";"";"Active"
137;"2010-07-17";"黃子嘉牧師";"與主同死同活";"";"UC Davis";"夏令會";"20100717Chuang.mp3";0;"";"";"Active"
138;"2010-07-17";"黃子嘉牧師";"與主同道同行";"";"UC Davis";"夏令會";"20100717Bhuang.mp3";0;"";"";"Active"
139;"2010-07-17";"黃子嘉牧師";"與主同心同行";"";"UC Davis";"夏令會";"20100717Ahuang.mp3";0;"";"";"Active"
140;"2010-07-18";"葉耿齊傳道";"捨得";"詩37：1-11";"海沃教會";"";"20100718yeh.mp3";0;"";"";"Active"
141;"2010-07-25";"葉耿齊傳道";"你是什麼料";"撒上 17：41-47";"海沃教會";"";"20100725yeh.mp3";0;"";"";"Active"
142;"2010-08-01";"Greg Eng";"Greg Eng";"";"海沃教會";"";"20100801GregNg.mp3";0;"";"";"Active"
143;"2010-08-08";"黃嘉松牧師";"讓基督的平安作主(一)";"";"海沃教會";"";"20100808huang.mp3";0;"";"";"Active"
144;"2010-08-15";"黃嘉松牧師";"讓基督的平安作主(二)";"羅5:1~2";"海沃教會";"";"20100815huang.mp3";0;"";"";"Active"
145;"2010-08-22";"陳鴻沫牧師";"宣召與順服";"賽55：1-9";"海沃教會";"";"20100822chen.mp3";0;"";"";"Active"
146;"2010-08-29";"陳肇兆牧師";"團隊事奉";"太4: 18-32";"海沃教會";"";"20100829chan.mp3";0;"";"";"Active"
147;"2010-09-19";"黃嘉松牧師";"神的心願";"弗1:3~6,賽49:1~6";"海沃教會";"";"20100919huang.mp3";0;"";"";"Active"
148;"2010-09-26";"黃嘉松牧師";"以掃輕看長子名分";"創 25：19～34";"海沃教會";"";"20100926huang.mp3";0;"";"";"Active"
149;"2010-10-03";"黃嘉松牧師";"祝福滿滿（一）";"弗 1：1～14";"海沃教會";"";"20101003huang.mp3";0;"";"";"Active"
150;"2010-10-08";"林三綱牧師";"培靈會 (一) ：個人靈性在生活中增長";"來 11：4～7";"海沃教會";"";"20101008lin.mp3";0;"";"";"Active"
151;"2010-10-10";"林三綱牧師";"培靈會 (三) ：忠心事奉成全神旨意";"來 11：23～31";"海沃教會";"";"20101010lin.mp3";0;"";"";"Active"
152;"2010-10-10";"林三綱牧師";"培靈會 (二) ：迎接啟示中的目標";"來 11：8～22";"海沃教會";"";"20101010_.mp3";0;"";"";"Active"
153;"2010-10-17";"葉耿齊傳道";"紀律之美";"林前9:24~27";"海沃教會";"";"20101017yeh.mp3";0;"";"";"Active"
154;"2010-10-24";"黃嘉松牧師";"祝福滿滿（二）";"弗 1：1～14";"海沃教會";"";"20101024huang.mp3";0;"";"";"Active"
155;"2010-11-02";"黃嘉松牧師";"神最想讓人知道的一件事";"弗2：1～10";"海沃教會";"";"20101102huang.mp3";0;"";"";"Active"
156;"2010-11-14";"黃嘉松牧師";"神偉大的和好工作";"";"海沃教會";"mp3";"20101114huang.mp3";0;"";"";"Active"
157;"2010-11-21";"黃嘉松牧師";"向神感恩";"申 8：10～20";"海沃教會";"";"20101121huang.mp3";0;"";"";"Active"
158;"2010-11-28";"陳鴻沫牧師";"怒氣與恩典";"詩30：4～6";"海沃教會";"";"20101128chen.mp3";0;"";"";"Active"
159;"2010-12-05";"黃嘉松牧師";"一個永世奧秘已顯現(1)|| 一個 永世奧秘已顯現(2)";"弗 3：1～13";"海沃教會";"";"20101205huang.mp3";0;"";"";"Active"
160;"2010-12-12";"林安國牧師";"委身不能震動的國";"來12：25～29";"海沃教會";"";"20101212lin.mp3";0;"";"";"Active"
161;"2010-12-19";"黃嘉松牧師";"馬利亞的敬拜";"路1:46-55";"海沃教會";"";"20101219huang.mp3";0;"";"";"Active"
162;"2010-12-26";"葉耿齊傳道";"無花果葉的背後";"創3:8-10";"海沃教會";"";"20101226yeh.mp3";0;"";"";"Active"
163;"2011-01-02";"黃嘉松牧師";"敬拜與侍奉（1）";"";"海沃教會";"";"20110102huang.mp3";0;"";"";"Active"
164;"2011-01-09";"黃嘉松牧師";"敬拜與侍奉（2）";"約 4：21-24";"海沃教會";"";"20110109huang.mp3";0;"";"";"Active"
165;"2011-01-16";"黃嘉松牧師";"敬拜與侍奉（3）";"創22：1～19";"海沃教會";"";"20110116huang.mp3";0;"";"";"Active"
166;"2011-01-23";"葉耿齊傳道";"這世界的諸神（1）";"詩16：4";"海沃教會";"";"20110123huang.mp3";0;"";"";"Active"
167;"2011-01-30";"陳鴻沫牧師";"在基督裡長進";"";"海沃教會";"";"20110130chen.mp3";0;"";"";"Active"
168;"2011-02-06";"黃嘉松牧師";"我們的神";"羅1：16~25";"海沃教會";"";"20110206huang.mp3";0;"";"";"Active"
169;"2011-02-13";"黃嘉松牧師";"敬拜神的雅各";"";"海沃教會";"";"20110213huang.mp3";0;"";"";"Active"
170;"2011-02-20";"黃嘉松牧師";"敬拜神的約伯";"伯 1:13-22";"海沃教會";"";"20110220huang.mp3";0;"";"";"Active"
171;"2011-02-27";"林力山弟兄";"主賜恩福";"太16：15～17";"海沃教會";"";"20110227lin.mp3";0;"";"";"Active"
172;"2011-03-06";"黃嘉松牧師";"我們所認識的神(二)";"出 3:1-15";"海沃教會";"";"20110306huang.mp3";0;"";"";"Active"
173;"2011-03-13";"羅天樂牧師";"音樂與敬拜";"";"海沃教會";"";"20110313law.mp3";0;"";"";"Active"
174;"2011-03-20";"黃嘉松牧師";"獻上讚美的祭";"詩145：1-13";"海沃教會";"";"20110320huang.mp3";0;"";"";"Active"
175;"2011-03-27";"葉耿齊傳道";"這世界的諸神(2) - 成就的誘惑";"創11：1-9";"海沃教會";"";"20110327yeh.mp3";0;"";"";"Active"
176;"2011-04-03";"黃嘉松牧師";"正常基督徒生活的特徵";"彼前2：1-10";"海沃教會";"";"20110403huang.mp3";0;"";"";"Active"
177;"2011-04-10";"黃嘉松牧師";"正常基督徒生活的特徵(2)";"彼前2：1-10";"海沃教會";"";"20110410huang.mp3";0;"";"";"Active"
178;"2011-04-17";"陳鴻沫牧師";"復活與我何干";"林前15：12~19,45~58";"海沃教會";"";"20110417chen.mp3";0;"";"";"Active"
179;"2011-04-24";"黃嘉松牧師";"基督復活與教會";"";"海沃教會";"";"20110424huang.mp3";0;"";"";"Active"
180;"2011-05-01";"黃嘉松牧師";"教會的本質";"太16:18,弗1：19-23，哥前17-23";"海沃教會";"";"20110501huang.mp3";0;"";"";"Active"
181;"2011-05-08";"黃嘉松牧師";"一對同心同行的夫婦";"徒18：1～4";"海沃教會";"";"20110508huang.mp3";0;"";"";"Active"
182;"2011-05-15";"葉耿齊傳道";"這世界的諸神-忙碌";"創 2:1-3";"海沃教會";"";"20110515yeh.mp3";0;"";"";"Active"
183;"2011-05-22";"葉耿齊傳道";"這世界的諸神-金钱";"路 16：1~15";"海沃教會";"";"20110522yeh.mp3";0;"";"";"Active"
184;"2011-05-29";"黃嘉松牧師";"基督復活與傳福音";"路24:44-53";"海沃教會";"技術問題無法提供錄音檔案";"";0;"";"";"Active"
185;"2011-06-05";"黃嘉松牧師";"給孩子留點甚麼";"來11：17-22";"海沃教會";"";"20110605huang.mp3";0;"";"";"Active"
186;"2011-06-12";"黃嘉松牧師";"一個屬靈父親的榜樣";"";"海沃教會";"";"20110612huang.mp3";0;"";"";"Active"
187;"2011-06-19";"王禮平牧師";"勇者的畫像";"";"海沃教會";"";"20110619wong.mp3";0;"";"";"Active"
188;"2011-06-26";"林力山弟兄";"美的侍奉";"太26：6-13";"海沃教會";"";"20110626lin.mp3";0;"";"";"Active"
189;"2011-07-03";"黃嘉松牧師";"當堅固你的心";"詩27：1～14";"海沃教會";"";"20110703huang.mp3";0;"";"";"Active"
190;"2011-07-10";"黃嘉松牧師";"跟隨主的挑戰";"路 9：23～27";"海沃教會";"";"20110710huang.mp3";0;"";"";"Active"
